0,-1725,-7009
1,-1515,-6589
2,-1515,-6799
3,-1515,-7009
4,-1515,-7219
5,-1305,-7429
6,-1305,-7219
7,-1305,-7009
8,-1305,-6799
9,-1305,-6589
10,-1305,-6379
11,-1095,-6169
12,-1095,-6379
13,-1095,-6589
14,-1095,-6799
15,-1095,-7009
16,-1095,-7219
17,-1095,-7429
18,-1095,-7639
19,-885,-7849
20,-885,-7639
21,-885,-7429
22,-885,-7219
23,-885,-7009
24,-885,-6799
25,-885,-6589
26,-885,-6379
27,-885,-6169
28,-675,-6379
29,-675,-6589
30,-675,-6799
31,-675,-7009
32,-675,-7219
33,-675,-7429
34,-675,-7639
35,-675,-7849
36,-465,-7849
37,-465,-7639
38,-465,-7429
39,-465,-7219
40,-465,-7009
41,-465,-6799
42,-465,-6589
43,-255,-6799
44,-255,-7009
45,-255,-7219
46,-255,-7429
47,-255,-7639
48,-45,-7429
49,-45,-7219
50,14,-5198
51,14,-5408
52,14,-5618
53,224,-6038
54,224,-5828
55,224,-5618
56,224,-5408
57,224,-5198
58,434,-5198
59,434,-5408
60,434,-5618
61,434,-5828
62,434,-6038
63,434,-6248
64,434,-6458
65,644,-6878
66,644,-6668
67,644,-6458
68,644,-6248
69,644,-6038
70,644,-5828
71,644,-5618
72,644,-5408
73,644,-5198
74,854,-5198
75,854,-5408
76,854,-5618
77,854,-5828
78,854,-6038
79,854,-6248
80,854,-6458
81,854,-6668
82,854,-6878
83,1064,-6878
84,1064,-6668
85,1064,-6458
86,1064,-6248
87,1064,-6038
88,1064,-5828
89,1064,-5618
90,1064,-5408
91,1274,-5618
92,1274,-5828
93,1274,-6038
94,1274,-6248
95,1274,-6458
96,1274,-6668
97,1484,-6458
98,1484,-6248
99,1484,-6038
100,1484,-5828
